Code	ISU_CD	Name	Market	Dept	Close	ChangeCode	Changes	ChagesRatio	Open	High	Low	Volume	Amount	Marcap	Stocks	MarketId
214320	KR7214320004	이노션	KOSPI		17670	1	70	0.4	17590	17730	17540	16656	294367950	706800000000	40000000	STK
353200	KR7353200009	대덕전자	KOSPI		14280	2	-130	-0.9	14270	14380	14200	24050	342860300	705673689000	49416925	STK
003530	KR7003530003	한화투자증권	KOSPI		3280	1	5	0.15	3260	3300	3260	232521	763129605	703716702000	214547775	STK
417200	KR7417200003	LS머트리얼즈	KOSDAQ	중견기업부	10280	2	-80	-0.77	10200	10400	10200	71339	735427735	695469334520	67652659	KSQ
451800	KR7451800007	한화리츠	KOSPI		3870	2	-40	-1.02	3900	3900	3840	45049	175006221	695052000000	179600000	STK
293940	KR7293940003	신한알파리츠	KOSPI		5660	2	-70	-1.22	5750	5750	5650	39894	226744245	684521096180	120940123	STK
251970	KR7251970000	펌텍코리아	KOSDAQ	우량기업부	54800	2	-500	-0.9	55000	55900	54100	16754	916250850	679520000000	12400000	KSQ
000670	KR7000670000	영풍	KOSPI		367500	0	0	0.0	0	0	0	0	0	676949700000	1842040	STK
083650	KR7083650002	비에이치아이	KOSDAQ	중견기업부	21650	1	200	0.93	21050	21950	21050	292685	6333291500	669945718750	30944375	KSQ
381970	KR7381970003	케이카	KOSPI		13800	2	-60	-0.43	13870	13870	13540	21405	294901645	664912607400	48182073	STK
008730	KR7008730004	율촌화학	KOSPI		26550	2	-400	-1.48	26750	27150	26450	26372	704955175	658440000000	24800000	STK
079900	KR7079900007	전진건설로봇	KOSPI		45100	1	600	1.35	44100	45350	43800	50218	2244418100	658123779500	14592545	STK
115450	KR7115450009	HLB테라퓨틱스	KOSDAQ	중견기업부	7770	1	30	0.39	7600	7820	7600	108139	837636125	654590883870	84245931	KSQ
121600	KR7121600001	나노신소재	KOSDAQ	우량기업부	53200	2	-400	-0.75	52600	54500	52600	12197	651217750	648831349600	12196078	KSQ
069260	KR7069260008	TKG휴켐스	KOSPI		15870	1	10	0.06	15860	16060	15640	26105	415751400	648743191560	40878588	STK
084110	KR7084110006	휴온스글로벌	KOSDAQ	중견기업부	51000	1	300	0.59	50700	51400	49700	36966	1868865050	644477820000	12636820	KSQ
025540	KR7025540006	한국단자	KOSPI		61800	3	0	0.0	61400	62000	61200	5755	354218400	643647000000	10415000	STK
058970	KR7058970005	엠로	KOSDAQ	기술성장기업부	52700	2	-300	-0.57	51500	53100	51500	26500	1388180400	643540305700	12211391	KSQ
347850	KR7347850000	디앤디파마텍	KOSDAQ	기술성장기업부	60100	1	1000	1.69	59100	61200	58700	265621	15970369800	643508790100	10707301	KSQ
003620	KR7003620002	KG모빌리티	KOSPI		3260	0	0	0.0	0	0	0	0	0	640277868040	196404254	STK
000210	KR7000210005	DL	KOSPI		30500	3	0	0.0	30200	30850	30150	17003	520065975	639154462000	20955884	STK
