Unnamed: 0	Code	ISU_CD	Name	Market	Dept	Close	ChangeCode	Changes	ChagesRatio	Open	High	Low	Volume	Amount	Marcap	Stocks	MarketId
879	417970	KR7417970001	모델솔루션	KOSDAQ	중견기업부	-	3									6396700	KSQ
880	080160	KR7080160005	모두투어	KOSDAQ	벤처기업부	-	3									18900000	KSQ
881	087260	KR7087260006	모바일어플라이언스	KOSDAQ	벤처기업부	-	3									32552861	KSQ
882	101330	KR7101330009	모베이스	KOSDAQ	중견기업부	-	3									23147029	KSQ
883	012860	KR7012860003	모베이스전자	KOSDAQ	우량기업부	-	3									73233457	KSQ
884	363260	KR7363260001	모비데이즈	KOSDAQ	벤처기업부	-	3									32163769	KSQ
885	348030	KR7348030008	모비릭스	KOSDAQ	중견기업부	-	3									9603800	KSQ
886	250060	KR7250060001	모비스	KOSDAQ	기술성장기업부	-	3									32171314	KSQ
887	288980	KR7288980006	모아데이타	KOSDAQ	기술성장기업부	-	3									34556562	KSQ
888	142760	KR7142760008	모아라이프플러스	KOSDAQ	기술성장기업부	-	3									42166980	KSQ
889	033200	KR7033200007	모아텍	KOSDAQ	투자주의환기종목(소속부없음)	-	3									14331185	KSQ
890	333050	KR7333050003	모코엠시스	KOSDAQ	벤처기업부	-	3									24613326	KSQ
891	009680	KR7009680000	모토닉	KOSPI		-	3									21733094	STK
892	118990	KR7118990001	모트렉스	KOSDAQ	우량기업부	-	3									24537371	KSQ
893	463480	KR7463480004	모티브링크	KOSDAQ	중견기업부	-	3									12390358	KSQ
894	006920	KR7006920003	모헨즈	KOSDAQ	중견기업부	-	3									10920000	KSQ
895	009580	KR7009580002	무림P&P	KOSPI		-	3									62368324	STK
896	001810	KR7001810001	무림SP	KOSDAQ	중견기업부	-	3									22137500	KSQ
897	009200	KR7009200007	무림페이퍼	KOSPI		-	3									41609310	STK
899	033920	KR7033920000	무학	KOSPI		-	3									28500000	STK
900	008420	KR7008420002	문배철강	KOSPI		-	3									20503505	STK
901	279600	KR7279600001	미디어젠	KOSDAQ	중견기업부	-	3									4684781	KSQ
902	095500	KR7095500005	미래나노텍	KOSDAQ	우량기업부	-	3									31009999	KSQ
903	254490	KR7254490006	미래반도체	KOSDAQ	우량기업부	-	3									14438000	KSQ
904	025560	KR7025560004	미래산업	KOSPI		-	3									4482654	STK
905	218150	KR7218150001	미래생명자원	KOSDAQ	벤처기업부	-	3									20415802	KSQ
906	007120	KR7007120009	미래아이앤지	KOSPI		-	3									28878608	STK
907	396690	KR7396690000	미래에셋글로벌리츠	KOSPI		-	3									39605940	STK
908	357250	KR7357250000	미래에셋맵스리츠	KOSPI		-	3									24995105	STK
909	100790	KR7100790005	미래에셋벤처투자	KOSDAQ	우량기업부	-	3									53124634	KSQ
910	0097F0	KR70097F0001	미래에셋비전스팩10호	KOSDAQ	SPAC(소속부없음)	-	3									6500000	KSQ
