Code	ISU_CD	Name	Market	Dept	Close	ChangeCode	Changes	ChagesRatio	Open	High	Low	Volume	Amount	Marcap	Stocks	MarketId
160190	KR7160190005	하이젠알앤엠	KOSDAQ	중견기업부	33800	3	0	0.0	34200	34500	33300	71007	2408532725	1044014400000	30888000	KSQ
009450	KR7009450008	경동나비엔	KOSPI		71600	2	-1200	-1.65	73100	73100	71400	6358	458809200	1043111187200	14568592	STK
365550	KR7365550003	ESR켄달스퀘어리츠	KOSPI		4805	3	0	0.0	4790	4805	4780	10949	52530315	1023892645000	213089000	STK
005300	KR7005300009	롯데칠성	KOSPI		110300	1	1700	1.57	108600	110600	108600	4717	518782750	1023460905200	9278884	STK
330590	KR7330590001	롯데리츠	KOSPI		3525	2	-25	-0.7	3545	3550	3510	37133	130848215	1018615316100	288968884	STK
001120	KR7001120005	LX인터내셔널	KOSPI		26100	1	250	0.97	25850	26300	25850	42694	1116296375	1011636000000	38760000	STK
336260	KR7336260005	두산퓨얼셀	KOSPI		15440	1	200	1.31	15490	15690	15320	79196	1225311595	1011223129440	65493726	STK
226950	KR7226950004	올릭스	KOSDAQ	기술성장기업부	50900	2	-700	-1.36	52800	52900	50400	188568	9729022650	1006563889800	19775322	KSQ
082640	KR7082640004	동양생명	KOSPI		6140	2	-30	-0.49	6210	6240	6130	43006	266561510	990741711900	161358585	STK
229640	KR7229640008	LS에코에너지	KOSPI		32300	1	800	2.54	31800	32500	31700	53426	1717064750	989183591700	30624879	STK
009240	KR7009240003	한샘	KOSPI		41800	1	900	2.2	41200	41950	40900	9252	384663825	983718190400	23533928	STK
004490	KR7004490009	세방전지	KOSPI		69700	1	600	0.87	69500	69900	69300	7218	502916900	975800000000	14000000	STK
112040	KR7112040001	위메이드	KOSDAQ	중견기업부	28450	1	450	1.61	28100	28600	28100	18867	535793000	965834341350	33948483	KSQ
014820	KR7014820005	동원시스템즈	KOSPI		33150	1	300	0.91	33200	33500	33000	3574	118981400	961060998300	28991282	STK
023590	KR7023590003	다우기술	KOSPI		21150	1	100	0.48	21100	21300	21000	7323	154700325	948928949550	44866617	STK
003030	KR7003030004	세아제강지주	KOSPI		228500	2	-2000	-0.87	230500	237500	225500	2335	537233000	946368624500	4141657	STK
001740	KR7001740000	SK네트웍스	KOSPI		4275	1	25	0.59	4270	4285	4255	61581	262942175	945963031050	221277902	STK
005180	KR7005180005	빙그레	KOSPI		94100	2	-200	-0.21	94600	95000	93900	6575	619931350	927001778100	9851241	STK
077970	KR7077970002	STX엔진	KOSPI		23000	1	400	1.77	23000	23200	22650	89949	2061867800	923405449000	40148063	STK
415640	KR7415640002	KB발해인프라	KOSPI		7535	2	-25	-0.33	7500	7590	7500	6503	49053175	923380704180	122545548	STK
100090	KR7100090000	SK오션플랜트	KOSPI		15520	1	370	2.44	15150	15590	15130	90390	1396870790	918715215360	59195568	STK
298020	KR7298020009	효성티앤씨	KOSPI		212000	1	1000	0.47	212500	213500	211000	1432	304055000	917468584000	4327682	STK
950210	KR8702070002	프레스티지바이오파마	KOSPI		15250	2	-30	-0.2	15370	15500	15230	27423	421140035	916466363750	60096155	STK
098460	KR7098460009	고영	KOSDAQ	우량기업부	13270	1	120	0.91	13200	13440	13190	342069	4561522640	911048598850	68654755	KSQ
000500	KR7000500009	가온전선	KOSPI		55000	2	-1100	-1.96	55300	56300	53900	68288	3752133500	909871325000	16543115	STK
